Survived,PassengerId,AgeBand,IsChild,FamilySize,FareCabinInteraction,GenderEncoded,Pclass,FareSurplus,FareSurplusRatio,Embarked
0,1,3,0,2,0.0,0,3,-0.6041999999999996,-0.07692699447429396,0
1,2,4,0,2,4.2805931204649,1,1,36.0333,1.0222212765957446,1
1,3,3,0,1,0.0,1,3,0.0708000000000002,0.009014285350513126,0
1,4,3,0,2,3.3160025355989236,1,1,-8.7,-0.24680851063829784,0
0,5,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
0,6,3,0,1,0.0,0,3,0.6040999999999999,0.07691426243283847,2
0,7,4,0,1,3.967694202798607,0,1,16.612499999999997,0.4712765957446808,0
0,8,0,1,5,0.0,0,3,-2.58545,-0.3291805658119223,0
1,9,3,0,3,0.0,1,3,-4.1431,-0.5275012095439382,0
1,10,2,0,2,0.0,1,2,2.035399999999999,0.1565692307692307,1
1,11,0,1,3,2.2353763433005955,1,3,0.4958,0.06312546153650277,0
1,12,5,0,1,3.3160025355989236,1,1,-8.7,-0.24680851063829784,0
0,13,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
0,14,4,0,7,0.0,0,3,-3.386342857142857,-0.4311505763977053,0
0,15,2,0,1,0.0,1,3,0.0,0.0,0
1,16,4,0,1,0.0,1,2,3.0,0.23076923076923078,0
0,17,0,1,6,0.0,0,3,-2.0291999999999994,-0.2583585852155534,2
1,18,3,0,1,0.0,0,2,0.0,0.0,0
0,19,3,0,2,0.0,1,3,10.145800000000001,1.2917674619948565,0
1,20,3,0,1,0.0,1,3,-0.6292,-0.08011000483817575,1
0,21,3,0,1,0.0,0,2,0.0,0.0,0
1,22,3,0,1,2.6390573296152584,0,2,0.0,0.0,0
1,23,2,0,1,0.0,1,3,0.17499999999999982,0.022281072547172192,2
1,24,3,0,1,3.597312260588446,0,1,0.25,0.0070921985815602835,0
0,25,1,1,5,0.0,1,3,-2.58545,-0.3291805658119223,0
1,26,4,0,7,0.0,1,3,-0.007324999999999804,-0.0009326220366173263,0
0,27,3,0,1,0.0,0,3,-0.6292,-0.08011000483817575,1
0,28,3,0,6,4.200954297280359,0,1,30.5,0.8652482269503546,0
1,29,3,0,1,0.0,1,3,0.025000000000000355,0.00318301036388179,2
0,30,3,0,1,0.0,0,3,0.04160000000000075,0.005296529245499319,0
0,31,4,0,1,0.0,0,1,-7.5291999999999994,-0.21359432624113472,1
1,32,3,0,2,4.307577835214363,1,1,38.010400000000004,1.078309219858156,1
1,33,3,0,1,0.0,1,3,-0.10419999999999963,-0.013266787196659066,2
0,34,5,0,1,0.0,0,2,-2.5,-0.19230769230769232,0
0,35,3,0,2,0.0,0,1,5.8354,0.1655432624113475,1
0,36,4,0,2,0.0,0,1,-9.25,-0.2624113475177305,0
1,37,3,0,1,0.0,0,3,-0.625,-0.07957525909704362,1
0,38,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
0,39,2,0,3,0.0,1,3,1.1458000000000004,0.14588373099742818,0
1,40,2,0,2,0.0,1,3,-2.2333499999999997,-0.28435104784701176,1
0,41,4,0,2,0.0,1,3,1.6208,0.2063609279111813,0
0,42,3,0,2,0.0,1,2,-2.5,-0.19230769230769232,0
0,43,3,0,1,0.0,0,3,0.04160000000000075,0.005296529245499319,1
1,44,0,1,4,0.0,1,2,0.8597333333333328,0.0661333333333333,1
1,45,3,0,1,0.0,1,3,0.025000000000000355,0.00318301036388179,2
0,46,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
0,47,3,0,2,0.0,0,3,7.6458,0.9734664256066818,2
1,48,3,0,1,0.0,1,3,-0.10419999999999963,-0.013266787196659066,2
0,49,3,0,3,0.0,0,3,13.825000000000003,1.7602047312266054,1
0,50,2,0,2,0.0,1,3,1.0458000000000007,0.13315168954190124,0
0,51,1,1,6,0.0,0,3,-1.2396166666666666,-0.1578285078896217,0
0,52,3,0,1,0.0,0,3,-0.054199999999999804,-0.006900766468895598,0
1,53,4,0,2,3.280023603931663,1,1,-9.673599999999997,-0.27442836879432614,1
1,54,3,0,2,0.0,1,2,13.0,1.0,0
0,55,5,0,2,4.142804513146981,0,1,26.7292,0.7582751773049645,1
1,56,3,0,1,3.597312260588446,0,1,0.25,0.0070921985815602835,0
1,57,3,0,1,0.0,1,2,-2.5,-0.19230769230769232,0
0,58,3,0,1,0.0,0,3,-0.625,-0.07957525909704362,1
1,59,0,1,4,0.0,1,2,-3.75,-0.28846153846153844,0
0,60,1,1,8,0.0,0,3,-0.037533333333333196,-0.004778759559641109,0
0,61,3,0,1,0.0,0,3,-0.625,-0.07957525909704362,1
1,62,4,0,1,3.713572066704308,1,1,4.75,0.1347517730496454,0
0,63,4,0,2,3.75507675496542,0,1,6.487499999999997,0.1840425531914893,0
0,64,0,1,6,0.0,0,3,-3.2042,-0.4079600723179955,0
0,65,3,0,1,0.0,0,1,-7.5291999999999994,-0.21359432624113472,1
1,66,0,1,3,0.0,0,3,-0.23130000000000006,-0.02944921188663391,1
1,67,3,0,1,2.4423470353692043,1,2,-2.5,-0.19230769230769232,0
0,68,3,0,1,0.0,0,3,0.3041000000000009,0.038718138066257665,0
1,69,2,0,7,0.0,1,3,0.0708000000000002,0.009014285350513126,0
0,70,3,0,3,0.0,0,3,0.8083,0.10291309108502458,0
0,71,3,0,1,0.0,0,2,-2.5,-0.19230769230769232,0
0,72,2,0,8,0.0,1,3,-0.037533333333333196,-0.004778759559641109,0
0,73,3,0,1,0.0,0,2,1.6999999999999993,0.13076923076923072,0
0,74,3,0,2,0.0,0,3,6.6000000000000005,0.8403147360647807,1
1,75,3,0,1,0.0,0,3,0.21662857142857295,0.027581239518801783,0
0,76,3,0,1,2.157559320943788,0,3,-0.20419999999999927,-0.025998828652186,0
0,77,3,0,1,0.0,0,3,0.04160000000000075,0.005296529245499319,0
0,78,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
1,79,0,1,3,0.0,0,2,1.5,0.11538461538461539,0
1,80,3,0,1,0.0,1,3,-1.6166999999999998,-0.20583891421150466,0
0,81,3,0,1,0.0,0,3,1.1458000000000004,0.14588373099742818,0
1,82,3,0,1,0.0,0,3,1.6458000000000004,0.20954393827506307,0
1,83,3,0,1,0.0,1,3,-0.06669999999999998,-0.008492271650836493,2
0,84,3,0,1,0.0,0,1,11.850000000000001,0.3361702127659575,0
1,85,2,0,1,0.0,1,2,-2.5,-0.19230769230769232,0
1,86,3,0,4,0.0,1,3,0.0708000000000002,0.009014285350513126,0
0,87,2,0,5,0.0,0,3,0.7395500000000004,0.09415981258434983,0
0,88,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
1,89,3,0,6,4.200954297280359,1,1,30.5,0.8652482269503546,0
0,90,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
0,91,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
0,92,3,0,1,0.0,0,3,0.0,0.0,0
0,93,4,0,2,4.1299529896894684,0,1,25.924999999999997,0.7354609929078013,0
0,94,3,0,4,0.0,0,3,2.4333,0.309808764737338,0
0,95,5,0,1,0.0,0,3,-0.6041999999999996,-0.07692699447429396,0
0,96,3,0,1,0.0,0,3,0.19580000000000108,0.024929337169921965,0
