PassengerId,Survived,Pclass,Sex,Fare,TicketGroupSize,FarePerPerson,FarePerPerson_log,FareClassBand,FareMedianByClass,FareSurplus,CabinExists,FareCabinInteraction
1,0,3,male,7.25,1,7.25,2.1102132003465894,0,7.8542,-0.6041999999999996,0,0.0
2,1,1,female,71.2833,1,71.2833,4.2805931204649,3,35.25,36.0333,1,4.2805931204649
3,1,3,female,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
4,1,1,female,53.1,2,26.55,3.3160025355989236,0,35.25,-8.7,1,3.3160025355989236
5,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
6,0,3,male,8.4583,1,8.4583,2.246892662898172,3,7.8542,0.6040999999999999,0,0.0
7,0,1,male,51.8625,1,51.8625,3.967694202798607,3,35.25,16.612499999999997,1,3.967694202798607
8,0,3,male,21.075,4,5.26875,1.8355769727281086,0,7.8542,-2.58545,0,0.0
9,1,3,female,11.1333,3,3.7111,1.5499214264083454,0,7.8542,-4.1431,0,0.0
10,1,2,female,30.0708,2,15.0354,2.774798778265854,3,13.0,2.035399999999999,0,0.0
11,1,3,female,16.7,2,8.35,2.2353763433005955,3,7.8542,0.4958,1,2.2353763433005955
12,1,1,female,26.55,1,26.55,3.3160025355989236,0,35.25,-8.7,1,3.3160025355989236
13,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
14,0,3,male,31.275,7,4.4678571428571425,1.698886792488434,0,7.8542,-3.386342857142857,0,0.0
15,0,3,female,7.8542,1,7.8542,2.180891922715322,1,7.8542,0.0,0,0.0
16,1,2,female,16.0,1,16.0,2.833213344056216,3,13.0,3.0,0,0.0
17,0,3,male,29.125,5,5.825,1.9205923410710235,0,7.8542,-2.0291999999999994,0,0.0
18,1,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
19,0,3,female,18.0,1,18.0,2.9444389791664403,3,7.8542,10.145800000000001,0,0.0
20,1,3,female,7.225,1,7.225,2.1071782966514356,0,7.8542,-0.6292,0,0.0
21,0,2,male,26.0,2,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
22,1,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,1,2.6390573296152584
23,1,3,female,8.0292,1,8.0292,2.2004637699272855,2,7.8542,0.17499999999999982,0,0.0
24,1,1,male,35.5,1,35.5,3.597312260588446,2,35.25,0.25,1,3.597312260588446
25,0,3,female,21.075,4,5.26875,1.8355769727281086,0,7.8542,-2.58545,0,0.0
26,1,3,female,31.3875,4,7.846875,2.1800642893181275,1,7.8542,-0.007324999999999804,0,0.0
27,0,3,male,7.225,1,7.225,2.1071782966514356,0,7.8542,-0.6292,0,0.0
28,0,1,male,263.0,4,65.75,4.200954297280359,3,35.25,30.5,1,4.200954297280359
29,1,3,female,7.8792,1,7.8792,2.1837114628556327,2,7.8542,0.025000000000000355,0,0.0
30,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
31,0,1,male,27.7208,1,27.7208,3.357621598945279,1,35.25,-7.5291999999999994,0,0.0
32,1,1,female,146.5208,2,73.2604,4.307577835214363,3,35.25,38.010400000000004,1,4.307577835214363
33,1,3,female,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
34,0,2,male,10.5,1,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
35,0,1,male,82.1708,2,41.0854,3.7397008871924475,2,35.25,5.8354,0,0.0
36,0,1,male,52.0,2,26.0,3.295836866004329,0,35.25,-9.25,0,0.0
37,1,3,male,7.2292,1,7.2292,2.1076888046179385,0,7.8542,-0.625,0,0.0
38,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
39,0,3,female,18.0,2,9.0,2.302585092994046,3,7.8542,1.1458000000000004,0,0.0
40,1,3,female,11.2417,2,5.62085,1.8902237604980383,0,7.8542,-2.2333499999999997,0,0.0
41,0,3,female,9.475,1,9.475,2.348991465808201,3,7.8542,1.6208,0,0.0
42,0,2,female,21.0,2,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
